model,metric,point_estimate,ci_lower_95,ci_upper_95,n_bootstrap_valid,threshold
SACU_LearnedShallowMetaFusion,roc_auc,0.7161112647492625,0.6571445486300969,0.7784165670640976,2000,0.5
SACU_LearnedShallowMetaFusion,average_precision,0.39877184079463673,0.30792656056316486,0.4989688756022804,2000,0.5
SACU_LearnedShallowMetaFusion,accuracy,0.869,0.848,0.89,2000,0.5
SACU_LearnedShallowMetaFusion,balanced_accuracy,0.6761615044247787,0.6290017610980081,0.7255825883554015,2000,0.5
SACU_LearnedShallowMetaFusion,sensitivity_recall,0.4375,0.34408602150537637,0.5368469785575049,2000,0.5
SACU_LearnedShallowMetaFusion,specificity,0.9148230088495575,0.8959025470653378,0.9325985449977438,2000,0.5
SACU_LearnedShallowMetaFusion,precision_ppv,0.35294117647058826,0.2677067903640758,0.44547202797202784,2000,0.5
SACU_LearnedShallowMetaFusion,npv,0.9387060158910329,0.9223703108832295,0.9541822957213743,2000,0.5
SACU_LearnedShallowMetaFusion,f1,0.39069767441860465,0.3076923076923077,0.47257767548906787,2000,0.5
SACU_LearnedShallowMetaFusion,mcc,0.32055267326193376,0.2322373978592643,0.4080939006631086,2000,0.5
SACU_FixedEqualWeightFusion,roc_auc,0.7122050147492626,0.6536298650615324,0.7726075513153685,2000,0.5
SACU_FixedEqualWeightFusion,average_precision,0.3862538223281692,0.29609695027600486,0.4840009986993967,2000,0.5
SACU_FixedEqualWeightFusion,accuracy,0.912,0.894,0.93,2000,0.5
SACU_FixedEqualWeightFusion,balanced_accuracy,0.5463219026548672,0.5196182208651918,0.5789486144338118,2000,0.5
SACU_FixedEqualWeightFusion,sensitivity_recall,0.09375,0.04122659373027562,0.15842740816137682,2000,0.5
SACU_FixedEqualWeightFusion,specificity,0.9988938053097345,0.9966254218222722,1.0,2000,0.5
SACU_FixedEqualWeightFusion,precision_ppv,0.9,0.6666666666666666,1.0,2000,0.5
SACU_FixedEqualWeightFusion,npv,0.9121212121212121,0.8940437421643274,0.9301637086903305,2000,0.5
SACU_FixedEqualWeightFusion,f1,0.16981132075471697,0.07765123226288274,0.272,2000,0.5
SACU_FixedEqualWeightFusion,mcc,0.2742954601586821,0.16317207119287566,0.37302609690508254,2000,0.5
SACU_AdaptiveWeightFusion,roc_auc,0.7108568399705014,0.6513832212569064,0.7725136481196013,2000,0.5
SACU_AdaptiveWeightFusion,average_precision,0.3866556402713886,0.2959563467520081,0.48478001626547434,2000,0.5
SACU_AdaptiveWeightFusion,accuracy,0.915,0.897975,0.932,2000,0.5
SACU_AdaptiveWeightFusion,balanced_accuracy,0.5619469026548672,0.5324169779615324,0.5974846355105717,2000,0.5
SACU_AdaptiveWeightFusion,sensitivity_recall,0.125,0.06593406593406594,0.19626168224299065,2000,0.5
SACU_AdaptiveWeightFusion,specificity,0.9988938053097345,0.9966254218222722,1.0,2000,0.5
SACU_AdaptiveWeightFusion,precision_ppv,0.9230769230769231,0.75,1.0,2000,0.5
SACU_AdaptiveWeightFusion,npv,0.9148936170212766,0.8970412063908132,0.9321862348178138,2000,0.5
SACU_AdaptiveWeightFusion,f1,0.22018348623853212,0.12244897959183673,0.32558139534883723,2000,0.5
SACU_AdaptiveWeightFusion,mcc,0.322210116151277,0.21955074912300274,0.4152039301964139,2000,0.5
LocalRegionalAgent,roc_auc,0.7052624907817109,0.6403722235984413,0.7646878709611208,2000,0.5
LocalRegionalAgent,average_precision,0.3640580020804187,0.27440084398212294,0.46427989810298326,2000,0.5
LocalRegionalAgent,accuracy,0.918,0.901,0.936,2000,0.5
LocalRegionalAgent,balanced_accuracy,0.591537610619469,0.5561818243031539,0.6336651263240509,2000,0.5
LocalRegionalAgent,sensitivity_recall,0.1875,0.11493354885057472,0.2727272727272727,2000,0.5
LocalRegionalAgent,specificity,0.995575221238938,0.9910313901345291,0.9989047097480832,2000,0.5
LocalRegionalAgent,precision_ppv,0.8181818181818182,0.6470588235294118,0.9565217391304348,2000,0.5
LocalRegionalAgent,npv,0.9202453987730062,0.9034907597535934,0.9375655673538419,2000,0.5
LocalRegionalAgent,f1,0.3050847457627119,0.20183100763241077,0.4132373895696779,2000,0.5
LocalRegionalAgent,mcc,0.36767883555197706,0.26101723407267613,0.46746784271462294,2000,0.5
BilateralAgent,roc_auc,0.7039085545722714,0.6387759593978982,0.7676211803020562,2000,0.5
BilateralAgent,average_precision,0.38483499772069174,0.29318411657029,0.4994038752590024,2000,0.5
BilateralAgent,accuracy,0.918,0.901,0.935,2000,0.5
BilateralAgent,balanced_accuracy,0.5868823746312685,0.5522819190603773,0.6282258785610314,2000,0.5
BilateralAgent,sensitivity_recall,0.17708333333333334,0.10713418862690707,0.26042798913043474,2000,0.5
BilateralAgent,specificity,0.9966814159292036,0.9922220059325176,1.0,2000,0.5
BilateralAgent,precision_ppv,0.85,0.6666666666666666,1.0,2000,0.5
BilateralAgent,npv,0.9193877551020408,0.9024390243902439,0.9365404298874105,2000,0.5
BilateralAgent,f1,0.29310344827586204,0.18947368421052632,0.40336503022261533,2000,0.5
BilateralAgent,mcc,0.3656398095817416,0.25648815349895543,0.46624974352360704,2000,0.5
MultiViewAgent,roc_auc,0.6509437223451328,0.5888677464677973,0.7114914688595041,2000,0.5
MultiViewAgent,average_precision,0.30492934494488355,0.22057647496906332,0.4036994127156332,2000,0.5
MultiViewAgent,accuracy,0.911,0.893,0.929,2000,0.5
MultiViewAgent,balanced_accuracy,0.5550792772861357,0.5249339476489083,0.5887406137577923,2000,0.5
MultiViewAgent,sensitivity_recall,0.11458333333333333,0.054945054945054944,0.18085359675785206,2000,0.5
MultiViewAgent,specificity,0.995575221238938,0.9910414333706606,0.9989035387963336,2000,0.5
MultiViewAgent,precision_ppv,0.7333333333333333,0.5,0.9375,2000,0.5
MultiViewAgent,npv,0.9137055837563451,0.8958517631190054,0.9311043566362716,2000,0.5
MultiViewAgent,f1,0.1981981981981982,0.0989856338575034,0.2982456140350877,2000,0.5
MultiViewAgent,mcc,0.26697728715867713,0.14666009220583343,0.37503567699522666,2000,0.5
TemporalSpatialAgent,roc_auc,0.6576730733775811,0.5916000735011041,0.7235972555319244,2000,0.5
TemporalSpatialAgent,average_precision,0.344459897159312,0.2565444414665165,0.4424430117278161,2000,0.5
TemporalSpatialAgent,accuracy,0.914,0.896,0.931,2000,0.5
TemporalSpatialAgent,balanced_accuracy,0.5567385693215339,0.5278528501681803,0.5914089193146783,2000,0.5
TemporalSpatialAgent,sensitivity_recall,0.11458333333333333,0.05681282161234991,0.1836793338024865,2000,0.5
TemporalSpatialAgent,specificity,0.9988938053097345,0.9966405375139977,1.0,2000,0.5
TemporalSpatialAgent,precision_ppv,0.9166666666666666,0.7272727272727273,1.0,2000,0.5
TemporalSpatialAgent,npv,0.9139676113360324,0.8960228431099991,0.9313148640797481,2000,0.5
TemporalSpatialAgent,f1,0.2037037037037037,0.10637827151195632,0.3089467849223947,2000,0.5
TemporalSpatialAgent,mcc,0.30701465946530443,0.20070441093664465,0.4017708180162536,2000,0.5
MetadataAgent,roc_auc,0.551288255899705,0.5126080224655313,0.5900056683929082,2000,0.5
MetadataAgent,average_precision,0.10617864986641308,0.08583485795919005,0.13112316962809487,2000,0.5
MetadataAgent,accuracy,0.904,0.885,0.922,2000,0.5
MetadataAgent,balanced_accuracy,0.5,0.5,0.5,2000,0.5
MetadataAgent,sensitivity_recall,0.0,0.0,0.0,2000,0.5
MetadataAgent,specificity,1.0,1.0,1.0,2000,0.5
MetadataAgent,precision_ppv,,,,0,0.5
MetadataAgent,npv,0.904,0.885,0.922,2000,0.5
MetadataAgent,f1,0.0,0.0,0.0,2000,0.5
MetadataAgent,mcc,0.0,0.0,0.0,2000,0.5
AdaptiveControlAgent,roc_auc,0.5811382282448377,0.5152686776919451,0.6484538854342659,2000,0.5
AdaptiveControlAgent,average_precision,0.22682509168543263,0.15600007587320014,0.3226781611645705,2000,0.5
AdaptiveControlAgent,accuracy,0.901,0.882,0.92,2000,0.5
AdaptiveControlAgent,balanced_accuracy,0.5216168879056047,0.5012758957273635,0.5466666666666666,2000,0.5
AdaptiveControlAgent,sensitivity_recall,0.052083333333333336,0.010752688172043012,0.10204081632653061,2000,0.5
AdaptiveControlAgent,specificity,0.9911504424778761,0.9845636455560497,0.9966777408637874,2000,0.5
AdaptiveControlAgent,precision_ppv,0.38461538461538464,0.1111111111111111,0.6666666666666666,2000,0.5
AdaptiveControlAgent,npv,0.9078014184397163,0.8892275655196129,0.9258920792639337,2000,0.5
AdaptiveControlAgent,f1,0.09174311926605505,0.0196078431372549,0.17243037135278508,2000,0.5
AdaptiveControlAgent,mcc,0.11243790511528937,0.008431992136802164,0.22122814393764573,2000,0.5
Baseline_GradientBoosting,roc_auc,0.7244826235250738,0.6648137777576412,0.7790281830211245,2000,0.5
Baseline_GradientBoosting,average_precision,0.38174419239833135,0.2924854265468544,0.4793712467569821,2000,0.5
Baseline_GradientBoosting,accuracy,0.918,0.901,0.935,2000,0.5
Baseline_GradientBoosting,balanced_accuracy,0.6101585545722714,0.5714093723861768,0.6543110909642137,2000,0.5
Baseline_GradientBoosting,sensitivity_recall,0.22916666666666666,0.15217391304347827,0.31735372340425505,2000,0.5
Baseline_GradientBoosting,specificity,0.9911504424778761,0.9844440118650353,0.996710616389001,2000,0.5
Baseline_GradientBoosting,precision_ppv,0.7333333333333333,0.5625,0.8947368421052632,2000,0.5
Baseline_GradientBoosting,npv,0.9237113402061856,0.9069286452947259,0.9407572257278232,2000,0.5
Baseline_GradientBoosting,f1,0.3492063492063492,0.24560575968222442,0.45456393200295625,2000,0.5
Baseline_GradientBoosting,mcc,0.380471001592824,0.2722261986061944,0.48664413917593774,2000,0.5
