primary_model,comparison_model,metric,primary_point,comparison_point,point_difference_primary_minus_comparison,ci_lower_95_difference,ci_upper_95_difference,bootstrap_p_two_sided,n_bootstrap_valid,threshold,interpretation
SACU_LearnedShallowMetaFusion,SACU_FixedEqualWeightFusion,roc_auc,0.7161112647492625,0.7122050147492626,0.003906249999999889,-0.009245211779623633,0.018232102330781177,0.575,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,SACU_FixedEqualWeightFusion,average_precision,0.39877184079463673,0.3862538223281692,0.012518018466467551,-0.0016399221476824598,0.027200547616707444,0.082,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,SACU_FixedEqualWeightFusion,balanced_accuracy,0.6761615044247787,0.5463219026548672,0.1298396017699115,0.08040696033739002,0.17935619126028646,0.0,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,SACU_FixedEqualWeightFusion,sensitivity_recall,0.4375,0.09375,0.34375,0.25,0.44000000000000006,0.0,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,SACU_FixedEqualWeightFusion,specificity,0.9148230088495575,0.9988938053097345,-0.08407079646017701,-0.10250957693705787,-0.06622334017246291,0.0,2000,0.5,comparison_higher_or_equal
SACU_LearnedShallowMetaFusion,SACU_FixedEqualWeightFusion,f1,0.39069767441860465,0.16981132075471697,0.22088635366388767,0.11125933766340909,0.322554594991115,0.0,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,SACU_FixedEqualWeightFusion,mcc,0.32055267326193376,0.2742954601586821,0.04625721310325165,-0.06367746343436205,0.1687754154048156,0.393,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,SACU_AdaptiveWeightFusion,roc_auc,0.7161112647492625,0.7108568399705014,0.005254424778761035,-0.002548013021557177,0.013735544348834396,0.177,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,SACU_AdaptiveWeightFusion,average_precision,0.39877184079463673,0.3866556402713886,0.012116200523248133,-4.7037896374245355e-05,0.026558297563919666,0.053,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,SACU_AdaptiveWeightFusion,balanced_accuracy,0.6761615044247787,0.5619469026548672,0.1142146017699115,0.06498783567096779,0.16311582744941705,0.0,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,SACU_AdaptiveWeightFusion,sensitivity_recall,0.4375,0.125,0.3125,0.21978021978021978,0.4086021505376344,0.0,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,SACU_AdaptiveWeightFusion,specificity,0.9148230088495575,0.9988938053097345,-0.08407079646017701,-0.10250957693705787,-0.06622334017246291,0.0,2000,0.5,comparison_higher_or_equal
SACU_LearnedShallowMetaFusion,SACU_AdaptiveWeightFusion,f1,0.39069767441860465,0.22018348623853212,0.17051418818007252,0.06174230801956756,0.27575250009942587,0.001,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,SACU_AdaptiveWeightFusion,mcc,0.32055267326193376,0.322210116151277,-0.0016574428893432192,-0.1032849787463054,0.11328138473762492,0.999,2000,0.5,comparison_higher_or_equal
SACU_LearnedShallowMetaFusion,LocalRegionalAgent,roc_auc,0.7161112647492625,0.7052624907817109,0.010848773967551573,-0.028036490409856316,0.05531580289737682,0.605,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,LocalRegionalAgent,average_precision,0.39877184079463673,0.3640580020804187,0.034713838714218015,-0.007680655703339455,0.08033826929824865,0.126,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,LocalRegionalAgent,balanced_accuracy,0.6761615044247787,0.591537610619469,0.08462389380530977,0.041866886472462485,0.13079610853073725,0.0,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,LocalRegionalAgent,sensitivity_recall,0.4375,0.1875,0.25,0.16666666666666669,0.34065934065934067,0.0,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,LocalRegionalAgent,specificity,0.9148230088495575,0.995575221238938,-0.08075221238938057,-0.09909909909909909,-0.06319115512961224,0.0,2000,0.5,comparison_higher_or_equal
SACU_LearnedShallowMetaFusion,LocalRegionalAgent,f1,0.39069767441860465,0.3050847457627119,0.08561292865589276,-0.008663517505203647,0.18719624391747947,0.076,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,LocalRegionalAgent,mcc,0.32055267326193376,0.36767883555197706,-0.047126162290043294,-0.13661775973397536,0.05952480549694289,0.386,2000,0.5,comparison_higher_or_equal
SACU_LearnedShallowMetaFusion,BilateralAgent,roc_auc,0.7161112647492625,0.7039085545722714,0.012202710176991038,-0.03330167612961287,0.05824080991741991,0.648,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,BilateralAgent,average_precision,0.39877184079463673,0.38483499772069174,0.013936843073944993,-0.043243626733648226,0.058625016661972076,0.799,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,BilateralAgent,balanced_accuracy,0.6761615044247787,0.5868823746312685,0.08927912979351027,0.04539869875896402,0.1361705144023515,0.0,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,BilateralAgent,sensitivity_recall,0.4375,0.17708333333333334,0.26041666666666663,0.17705185439560442,0.34863467197507353,0.0,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,BilateralAgent,specificity,0.9148230088495575,0.9966814159292036,-0.08185840707964609,-0.10033454242439101,-0.06426915727531327,0.0,2000,0.5,comparison_higher_or_equal
SACU_LearnedShallowMetaFusion,BilateralAgent,f1,0.39069767441860465,0.29310344827586204,0.0975942261427426,-0.0016926624290012932,0.20273649659874657,0.053,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,BilateralAgent,mcc,0.32055267326193376,0.3656398095817416,-0.04508713631980782,-0.13927521245640237,0.06066214278424355,0.401,2000,0.5,comparison_higher_or_equal
SACU_LearnedShallowMetaFusion,MultiViewAgent,roc_auc,0.7161112647492625,0.6509437223451328,0.0651675424041297,0.02500452745368165,0.10970388928411821,0.002,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,MultiViewAgent,average_precision,0.39877184079463673,0.30492934494488355,0.09384249584975318,0.047403146420735745,0.14433314480514467,0.0,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,MultiViewAgent,balanced_accuracy,0.6761615044247787,0.5550792772861357,0.12108222713864303,0.07286715263272259,0.17095249742336846,0.0,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,MultiViewAgent,sensitivity_recall,0.4375,0.11458333333333333,0.3229166666666667,0.22988505747126436,0.4193647949024292,0.0,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,MultiViewAgent,specificity,0.9148230088495575,0.995575221238938,-0.08075221238938057,-0.09899888765294773,-0.06317938027924355,0.0,2000,0.5,comparison_higher_or_equal
SACU_LearnedShallowMetaFusion,MultiViewAgent,f1,0.39069767441860465,0.1981981981981982,0.19249947622040645,0.08488547501409661,0.29997197730586117,0.0,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,MultiViewAgent,mcc,0.32055267326193376,0.26697728715867713,0.05357538610325663,-0.056402662373714996,0.17439998828907935,0.349,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,TemporalSpatialAgent,roc_auc,0.7161112647492625,0.6576730733775811,0.05843819137168138,0.02201541897390154,0.09935532084168329,0.001,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,TemporalSpatialAgent,average_precision,0.39877184079463673,0.344459897159312,0.05431194363532471,0.020142335083479714,0.09438443239576944,0.001,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,TemporalSpatialAgent,balanced_accuracy,0.6761615044247787,0.5567385693215339,0.11942293510324486,0.07027342495034902,0.16767175928690872,0.0,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,TemporalSpatialAgent,sensitivity_recall,0.4375,0.11458333333333333,0.3229166666666667,0.22914402173913045,0.4176079734219268,0.0,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,TemporalSpatialAgent,specificity,0.9148230088495575,0.9988938053097345,-0.08407079646017701,-0.10251029962661934,-0.06630434782608696,0.0,2000,0.5,comparison_higher_or_equal
SACU_LearnedShallowMetaFusion,TemporalSpatialAgent,f1,0.39069767441860465,0.2037037037037037,0.18699397071490095,0.07682067992443169,0.29267403253483243,0.001,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,TemporalSpatialAgent,mcc,0.32055267326193376,0.30701465946530443,0.013538013796629333,-0.09220075095939033,0.13046873645233525,0.796,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,MetadataAgent,roc_auc,0.7161112647492625,0.551288255899705,0.16482300884955747,0.09728069802782326,0.23157070773841007,0.0,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,MetadataAgent,average_precision,0.39877184079463673,0.10617864986641308,0.29259319092822367,0.19755195247896437,0.38031764505675225,0.0,2000,0.5,primary_higher
