sample_index,y_true,dominant_agent,dominant_pathway,dominant_weight,top_minus_second_weight_margin,normalized_weight_entropy,LocalRegionalAgent_weight,MultiViewAgent_weight,BilateralAgent_weight,TemporalSpatialAgent_weight,MetadataAgent_weight,AdaptiveControlAgent_weight
0,0,TemporalSpatialAgent,Temporal-Spatial,0.22781270493391761,0.015784964242762628,0.9335780553877974,0.20329630845735827,0.212027740691155,0.2076186311822266,0.22781270493391761,0.028484361148981813,0.12076025358636075
1,0,TemporalSpatialAgent,Temporal-Spatial,0.23525974199068045,0.017731019024846806,0.9314359622032639,0.21180020174945716,0.21752872296583364,0.18649241694856952,0.23525974199068045,0.027424029873413608,0.12149488647204552
2,0,TemporalSpatialAgent,Temporal-Spatial,0.22936380229321868,0.008606114493112604,0.9305515161569848,0.1990682312860489,0.22075768780010607,0.20891198466585748,0.22936380229321868,0.02807699111314571,0.11382130284162334
3,0,BilateralAgent,Bilateral,0.21975228200633126,0.001920952126869907,0.9323051490688067,0.19995297371844936,0.21435331284668366,0.21975228200633126,0.21783132987946136,0.027214474864820006,0.12089562668425442
4,0,TemporalSpatialAgent,Temporal-Spatial,0.2226419466754391,0.008383391354173597,0.9346722154540579,0.20271684093117387,0.2142585553212655,0.2096702782779393,0.2226419466754391,0.029062479287977814,0.12164989950620456
5,0,TemporalSpatialAgent,Temporal-Spatial,0.22574206396270668,0.01221484553533439,0.9320374248678257,0.20408977710233075,0.21272285138581468,0.2135272184273723,0.22574206396270668,0.02858911624099111,0.11532897288078454
6,1,TemporalSpatialAgent,Temporal-Spatial,0.2235329883337652,0.015351818000850004,0.9362284230083682,0.2079079856389359,0.2081811703329152,0.20519068227631168,0.2235329883337652,0.029324662349472112,0.12586251106859986
7,0,TemporalSpatialAgent,Temporal-Spatial,0.22799831550849,0.011502744266069898,0.9327979901159227,0.2023284387218522,0.2164955712424201,0.2075780397587462,0.22799831550849,0.0290650744278916,0.1165345603405998
8,0,TemporalSpatialAgent,Temporal-Spatial,0.23026830445111207,0.010755339540167774,0.934321232025733,0.20545294300941766,0.2195129649109443,0.19224168135428496,0.23026830445111207,0.02894810658833251,0.12357599968590854
9,0,TemporalSpatialAgent,Temporal-Spatial,0.22286112689212176,0.009754906855157702,0.9348881798669625,0.20204369424114907,0.21310622003696406,0.21081772891276707,0.22286112689212176,0.02917161501528181,0.12199961490171633
10,0,TemporalSpatialAgent,Temporal-Spatial,0.23076161778777987,0.014198634874236199,0.9330024795220085,0.18882162519783904,0.21498507435718608,0.21656298291354367,0.23076161778777987,0.02888280784106911,0.11998589190258215
11,0,TemporalSpatialAgent,Temporal-Spatial,0.22786074065875245,0.022876827619069395,0.9375782227917021,0.20479706172259696,0.20498391303968305,0.20393089037308096,0.22786074065875245,0.030180392372738507,0.12824700183314824
