reference_condition,comparison_condition,metric,reference_point,comparison_point,difference_reference_minus_comparison,ci_lower_95_difference,ci_upper_95_difference,bootstrap_p_two_sided,n_bootstrap
LearnedSACUMetaFusion,AdaptiveWeightFusion,roc_auc,0.7161112647492625,0.7108568399705014,0.005254424778761035,-0.0031680481754474384,0.0135651520748673,0.207,2000
LearnedSACUMetaFusion,AdaptiveWeightFusion,average_precision,0.39877184079463673,0.3866556402713886,0.012116200523248133,-9.542438229877409e-05,0.025701715120054466,0.051,2000
LearnedSACUMetaFusion,AdaptiveWeightFusion,balanced_accuracy,0.6761615044247787,0.5619469026548672,0.1142146017699115,0.07017520074441624,0.1607220397192772,0.0,2000
LearnedSACUMetaFusion,AdaptiveWeightFusion,f1,0.39069767441860465,0.22018348623853212,0.17051418818007252,0.06440372575965794,0.2748036013865719,0.003,2000
LearnedSACUMetaFusion,AdaptiveWeightFusion,mcc,0.32055267326193376,0.322210116151277,-0.0016574428893432192,-0.09893676212865708,0.10697493602047914,0.989,2000
LearnedSACUMetaFusion,AdaptiveWeightFusion,sensitivity_recall,0.4375,0.125,0.3125,0.22222222222222224,0.40196331109763495,0.0,2000
LearnedSACUMetaFusion,AdaptiveWeightFusion,specificity,0.9148230088495575,0.9988938053097345,-0.08407079646017701,-0.10281825732407127,-0.06600660066006603,0.0,2000
LearnedSACUMetaFusion,FixedEqualWeightFusion,roc_auc,0.7161112647492625,0.7122050147492626,0.003906249999999889,-0.01063885970826339,0.01843224368556131,0.613,2000
LearnedSACUMetaFusion,FixedEqualWeightFusion,average_precision,0.39877184079463673,0.3862538223281692,0.012518018466467551,-0.0014694123111549384,0.026478743091820064,0.084,2000
LearnedSACUMetaFusion,FixedEqualWeightFusion,balanced_accuracy,0.6761615044247787,0.5463219026548672,0.1298396017699115,0.08502838830500553,0.1772162373502977,0.0,2000
LearnedSACUMetaFusion,FixedEqualWeightFusion,f1,0.39069767441860465,0.16981132075471697,0.22088635366388767,0.11484165774488353,0.3247219560809746,0.0,2000
LearnedSACUMetaFusion,FixedEqualWeightFusion,mcc,0.32055267326193376,0.2742954601586821,0.04625721310325165,-0.05875460072260996,0.16525184471425172,0.382,2000
LearnedSACUMetaFusion,FixedEqualWeightFusion,sensitivity_recall,0.4375,0.09375,0.34375,0.25286751361161525,0.43591954022988494,0.0,2000
LearnedSACUMetaFusion,FixedEqualWeightFusion,specificity,0.9148230088495575,0.9988938053097345,-0.08407079646017701,-0.10281825732407127,-0.06600660066006603,0.0,2000
LearnedSACUMetaFusion,StaticGlobalWeightFusion,roc_auc,0.7161112647492625,0.7125622234513276,0.003549041297934874,-0.004580182860746629,0.011468896000725249,0.369,2000
LearnedSACUMetaFusion,StaticGlobalWeightFusion,average_precision,0.39877184079463673,0.39277815587075443,0.005993684923882303,-0.0022922130515862183,0.015051385889659223,0.164,2000
LearnedSACUMetaFusion,StaticGlobalWeightFusion,balanced_accuracy,0.6761615044247787,0.5619469026548672,0.1142146017699115,0.07017520074441624,0.1607220397192772,0.0,2000
LearnedSACUMetaFusion,StaticGlobalWeightFusion,f1,0.39069767441860465,0.22018348623853212,0.17051418818007252,0.06440372575965794,0.2748036013865719,0.003,2000
LearnedSACUMetaFusion,StaticGlobalWeightFusion,mcc,0.32055267326193376,0.322210116151277,-0.0016574428893432192,-0.09893676212865708,0.10697493602047914,0.989,2000
LearnedSACUMetaFusion,StaticGlobalWeightFusion,sensitivity_recall,0.4375,0.125,0.3125,0.22222222222222224,0.40196331109763495,0.0,2000
